"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 05 17:47:46 GMT 2023","Mon Jun 05 17:47:51 GMT 2023","4621","","Check that ""Telnyxs Terms & Conditions"" link navigate to ""Telnyxs Terms & Conditions"" page from the Sign up page","","","","Verify that after clicking on the ""Telnyxs Terms & Conditions"" button from the Sign up page the ""Telnyxs Terms & Conditions"" text appears.",""
"passed","Mon Jun 05 17:44:54 GMT 2023","Mon Jun 05 17:45:05 GMT 2023","10945","","Chech that ""See pricing"" button navigate to ""Pricing"" page from the ""Global Numbers"" page","","","","Verify that after clicking on the ""See pricing"" button from the Global Numbers page the ""Pay as you go"" and ""Volume-based pricing"" windows appears.",""
"passed","Mon Jun 05 17:45:16 GMT 2023","Mon Jun 05 17:45:34 GMT 2023","18136","","Test the ""Become a Telnyx Partner"" form with positive scenario, form opened via link from the Partnerships page","","","","Verify that ""Thank you."" message appears after submitting ""Become a Telnyx Partner"" form with valid credentials, the ""Become a Telnyx Partner"" form is triggered after clicking the ""Become a partner"" button on the ""Partnerships"" page.",""
"passed","Mon Jun 05 17:47:04 GMT 2023","Mon Jun 05 17:47:23 GMT 2023","19754","","Test the ""Contact Us"" form with positive scenario, form opened via ""Talk to an expert"" link button from the ""g2-compare"" page","","","","Verify that ""Thank you."" message appears after submitting Contact Us form with valid credentials, the ""Contact Us"" form is triggered after clicking the ""Talk to an expert"" link button on the ""g2-compare"" page.",""
"passed","Mon Jun 05 17:44:03 GMT 2023","Mon Jun 05 17:44:18 GMT 2023","15338","","Test the Sign up form with positive scenario, form opened via link from the ""Global Numbers"" page","","","","Verify that ""The last one step"" message appears after submitting Sign up form with valid credentials, the Sign up form is triggered after clicking the ""Search Numbers"" button on the ""Global Numbers"" page.",""
"failed","Mon Jun 05 17:58:01 GMT 2023","Mon Jun 05 17:59:14 GMT 2023","73282","","Test Sign In form from Sign Up page with negative scenario when all fields are left empty","","","","Verify that ""Required"" message appears and user is not signed in after submitting Sign In form with invalid credentials, the ""Sign In"" form is triggered after clicking the ""Log In"" link button on the ""Sign Up"" page.",""
"passed","Mon Jun 05 17:53:56 GMT 2023","Mon Jun 05 17:54:15 GMT 2023","18640","","Test Sign In form from Sign Up page with negative scenario where all fields are filled with incorrect credentials","","","","Verify that ""That email and password combinations is not valid ..."" message appears and user is not signed in after submitting Log In form with invalid credentials from Contuct Us page",""
"passed","Mon Jun 05 17:45:50 GMT 2023","Mon Jun 05 17:45:55 GMT 2023","4910","","Test ""See use cases"" and ""See industries"" buttons functionality on ""Solutions"" page","","","","Verify ""See use cases"" button scroll to ""Account notifications"" text and image on the ""Solutions"" page",""
"passed","Mon Jun 05 17:48:19 GMT 2023","Mon Jun 05 17:48:28 GMT 2023","9481","","Test ""Become a Telnyx Partner"" form with negative scenario where all fields are filled with incorrect data","","","","Verify that ""This field is required."" message appears after clicking ""Submit"" button with empty fields, the ""Become a Telnyx Partner"" form is triggered after clicking the ""Become a partner"" button on the ""Partnerships"" page.",""
"failed","Mon Jun 05 17:52:03 GMT 2023","Mon Jun 05 17:53:08 GMT 2023","64873","","Test Sign up form from Contact Us page with negative scenario where all fields are filled with incorrect credentials","","","","Verify that ""Thank you for submitting your abuse complaint."" message appears and user is not signed in after submitting Sign up form empty fields, the ""Sign up"" form is triggered after clicking the ""portal"" button on the ""SMS API"" page.",""
"passed","Mon Jun 05 17:45:44 GMT 2023","Mon Jun 05 17:45:50 GMT 2023","5959","","Test ""See use cases"" and ""See industries"" buttons functionality on ""Solutions"" page","","","","Verify ""See industries"" button scroll to ""Healthcare"" button on the ""Solutions"" page",""
